Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
119,giuliacoelli,,1,18,19,1,18,19,2,0.660714,0.743243,450.107576,3
120,DelfiChesini,,0,12,12,0,12,12,1,1,1,0,2
121,carfaxyelpilar,,0,1,1,0,1,1,1,1,1,0,1
122,youthure,,3,146,149,3,146,149,1,1,1,7545.599845,1
123,Lacasitadecoco,,1,205,206,1,205,206,3,0.471739,0.543011,27268.752427,6
124,_N1C0LA5_,,0,357,357,0,357,357,3,0.70494,0.822285,0,8
125,pablopartys,,1,115,116,1,115,116,2,0.794872,0.870968,8000.558769,6
126,Sarapples1,,0,21,21,0,21,21,1,1,1,0,3
127,YICservices,,0,22,22,0,22,22,2,0.553922,0.597345,0,2
128,cinya234,,0,9,9,0,9,9,1,1,1,0,1
129,esnelte,,6,7,13,6,7,13,2,0.652174,0.733333,566.245258,1
130,SoengReng,,1,100,101,1,100,101,1,1,1,15289.948286,2
131,ColagalloG,,2,27,29,2,27,29,1,1,1,1096.481652,0
132,agmgermany2017,,4,33,37,4,33,37,3,0.455235,0.503889,4154.84316,1
133,pacocp9,,1,174,175,1,174,175,14,0.124764,0.135955,14175.158372,8
134,elrincondlatapa,,3,891,894,3,891,894,11,0.179496,0.206192,449923.914789,0
135,esnbaleares,,3,28,31,3,28,31,1,1,1,3136.77449,2
136,elbache_net,,1,27,28,1,27,28,1,1,1,901.779654,0
137,PokePromos,,2,9,11,2,9,11,4,0.377358,0.406944,2267.798163,4
138,muxelka,,1,102,103,1,102,103,1,1,1,6844.31608,4
139,JoakiRuano,,1,10,11,1,10,11,1,1,1,1274.592857,6
140,lolaalavarez,,1,101,102,1,101,102,3,0.449573,0.590621,11039.207838,4
141,Viajedegrupo,,0,93,93,0,93,93,1,1,1,0,7
142,isa_andradee,,2,1,3,2,1,3,1,1,1,0,1
143,jonny979,,1,104,105,1,104,105,1,1,1,12230.193651,6
144,ElenaPenafiel,,3,211,214,3,211,214,3,0.456044,0.544907,43098.205467,0
145,conchabernat,,1,35,36,1,35,36,1,1,1,3582.934507,6
146,96_mariluz,,2,40,42,2,40,42,1,1,1,4686.257143,6
147,Helena_Fedriani,,3,184,187,3,184,187,14,0.127818,0.140476,161720.985388,6
148,spizzio,,2,31,33,2,31,33,2,0.613139,0.684524,2083.821032,3
149,anothersoul4,,2,1,3,2,1,3,1,1,1,0,2
150,santy691,,0,176,176,0,176,176,1,1,1,0,5
151,dxt_dopaje_soc,,1,110,111,1,110,111,1,1,1,9227.127073,0
152,Lidia_2596,,1,81,82,1,81,82,1,1,1,8743.426842,5
153,martamedinagr,,2,18,20,2,18,20,1,1,1,962.562698,0
154,NNSIN,,1,18,19,1,18,19,1,1,1,1326.002516,0
155,Oscar_r_p_92,,1,102,103,1,102,103,13,0.125057,0.132114,8775.720391,6
156,PaulinaHuertas,,3,165,168,3,165,168,2,0.906404,0.94837,22435.500344,0
157,Bel_Bur,,1,118,119,1,118,119,1,1,1,6792.339156,6
158,verdegolondrina,,0,1,1,0,1,1,1,1,1,0,1
159,eSkillsMatch,,3,148,151,3,148,151,4,0.455609,0.495721,184628.58709,1
160,esnzagreb,,4,6,10,4,6,10,1,1,1,530.399332,1
161,lio_qs,,1,68,69,1,68,69,2,0.604294,0.672589,3774.785773,6
162,rstgranada1917,,2,265,267,2,265,267,2,0.698651,0.784335,45689.522527,5
163,lemaula,,0,16,16,0,16,16,1,1,1,0,1
164,MacDpoint,,1,67,68,1,67,68,11,0.190148,0.209399,20241.470395,8
165,sarahtopia_,,0,1,1,0,1,1,1,1,1,0,1
166,nusan94,,1,1,2,1,1,2,1,1,1,0,1
167,cary_loca,,2,29,31,2,29,31,1,1,1,3501.764177,0
168,Chap_Marie,,0,3,3,0,3,3,1,1,1,0,2
169,luci_mg,,0,85,85,0,85,85,1,1,1,0,6
170,COMPYAPP,,0,4,4,0,4,4,1,1,1,0,0
171,Floralimagegr,,2,15,17,2,15,17,4,0.355355,0.393427,11073.721284,0
172,effe1964,,1,723,724,1,723,724,1,1,1,50977.843221,3
173,katsatweet,,1,1,2,1,1,2,1,1,1,0,1
174,stefanh_michael,,1,25,26,1,25,26,1,1,1,2245.504318,2
175,Granada_Nights,,3,1,4,3,1,4,1,1,1,0,1
176,MEUMadrid,,3,47,50,3,47,50,1,1,1,5498.837912,4
177,Al_varo5,,1,1,2,1,1,2,1,1,1,0,1
178,SingPlayAndINte,,0,64,64,0,64,64,2,0.984848,0.992308,0,6
179,utecnocoop,,2,127,129,2,127,129,12,0.168331,0.184312,1069366.122939,6
180,oscarmbiedma,,0,9,9,0,9,9,1,1,1,0,6
181,MaathildeDuval,,0,8,8,0,8,8,1,1,1,0,1
182,movineurope,,6,7,13,6,7,13,1,1,1,354.821429,1
183,ESN_UCLM,,4,5,9,4,5,9,1,1,1,437.510317,1
184,josemacrespo,,1,139,140,1,139,140,2,0.628466,0.704412,26040.242785,5
185,OscarMunozBied,,1,31,32,1,31,32,1,1,1,2422.731457,6
186,Miri4mG,,0,1,1,0,1,1,1,1,1,0,1
187,ESNBelgium,,10,23,33,10,23,33,14,0.148545,0.164972,17966.904615,1
188,EU_events,,5,617,622,5,617,622,1,1,1,67212.029679,1
189,yeswerent,,0,5,5,0,5,5,1,1,1,0,1
190,bemoregranada,,1,266,267,1,266,267,16,0.098066,0.108414,73593.431187,6
191,heyrents,,1,75,76,1,75,76,1,1,1,3818.545485,1
192,josepablols,,0,159,159,0,159,159,1,1,1,0,0
193,esnesogu,,4,5,9,4,5,9,1,1,1,195.218398,1
